ID,142091,197445,5546957,6101090,6101207,6165501,6165474,6231987,6504314,6597530,6598066,6597531,6671384
유림어린이집,957.331130980616990,1548.349637740030630,1416.089725808032199,820.355238091399087,2296.978764992952620,3198.440551015587516,2986.430713818515869,2948.679533589343009,1203.876460267882749,2014.776225985938936,607.408226631626007,1134.837441309126234,1239.139577528013206
미소담어린이집,1142.769583359044418,1583.668633962618060,1372.430708983634077,685.303474506084399,2229.259243377856365,3102.038144335969719,2867.797849810068328,2912.739544073578600,1361.491458542181590,2030.137993287070685,730.261012855391868,1300.206929778674748,1404.415110106587690
아기천사어린이집,275.817779536769649,1678.231623842650833,1910.005813727864052,1689.879093139011047,2785.482425487974979,3764.643266405800659,3656.613623326790730,3251.563561967110218,685.261429118648152,2158.338704121484625,812.999059870358110,576.809197724894602,629.016487486217216
구립 한빛어린이집,155.911528587316525,1560.473138470808635,1810.145764745213683,1633.322304210464154,2679.126644608999413,3660.624847520396088,3561.608482042458036,3134.308694379967619,563.661757278917207,2038.630163113298067,729.408784575345180,454.780830189087112,511.053534776873676
까꿍어린이집,154.380421465759127,1540.119585460069402,1817.087840595176658,1677.145692440346011,2676.883695693139543,3660.844844334748814,3572.210239646155969,3113.638505975288354,512.324213566957837,2012.600958707955442,757.806568412176375,406.214214215175218,450.361632335476429
진영꼬마숲어린이집,366.206057912607150,1323.948719979051248,1448.271767329247950,1190.527404015199409,2340.666431969393216,3307.692952584655359,3175.992612702708357,2869.865838386773703,634.309734825866030,1816.459205071097585,332.756990854612070,550.246877371223150,652.863190550747731
화동교회방과후어린이집,83.141315778722074,1484.972841660565564,1747.042419787450171,1600.224744396118012,2611.131653881985585,3593.976502935631743,3500.967688425276719,3058.925916440288802,485.955103785801498,1961.695065599962845,681.380031267231629,376.734308127297197,436.909278072911832
구립 배다리어린이집,1334.544067301953646,1407.888967558660852,1082.990944709903715,323.869520585939483,1901.452099906726062,2750.241242171403428,2507.043295439306348,2614.034388745463730,1453.839888507232217,1810.024422382223520,794.595298558309082,1417.158511982790060,1516.940968865448212
해다미어린이집,109.322493019597559,1352.664608312089968,1580.106678420246226,1424.378142188530092,2452.479619259339870,3432.492612033907335,3330.850715668360408,2923.892586423000466,452.560713819686669,1837.375568207364950,503.162098829043543,348.981898862282094,440.251899110698162
천사어린이집,832.074692137657507,1222.422610940266850,1139.703047854511169,719.811122657490841,2035.487077880793549,2967.367115240341718,2791.028417203639492,2653.790176273994803,972.660832945013453,1693.367362065691168,320.831202805818691,924.901973316008366,1027.099341604113533
썬에듀스쿨어린이집,1319.588560301213647,1361.664660312512751,1038.068951885225715,297.316687185370085,1861.442770040302776,2716.512651635018756,2478.735523926799033,2570.606965418681739,1426.424513080015686,1763.235713388084378,768.757083854231269,1392.584842077267240,1491.499493456218715
에반어린이집,593.489007466121052,1170.705049610158312,1216.596301443742504,940.886780158784177,2114.613804653827174,3072.322286570675260,2928.203926755935299,2678.353206126021632,736.769226411493491,1659.349811964637183,142.274443854982763,682.444318055580652,785.597427852998294
구립 피노키오어린이집,320.696507850195644,1209.419530904598787,1382.755358597771192,1213.001512650421546,2265.285123079496316,3240.292475591582843,3127.004655472648210,2767.971305625650075,502.381213161405356,1700.773424448541618,288.438869931321278,427.473881962631140,531.721311106017424
까치산어린이집,549.035326939816173,1145.881444210157497,1221.110443234952982,983.474246587665448,2116.700142231472000,3079.542704229678293,2943.818746302081763,2666.751864403835953,679.517826344674290,1636.513669915693526,115.036811748190814,626.005662822342629,728.945939749526019
달님별님어린이집,352.435188855606839,1539.782316744348236,1899.017918631428302,1863.153376237283737,2723.037270544401963,3710.394828273381336,3654.322097390517229,3097.397590802499053,454.913190909706600,1986.095121971333811,922.887474728603252,383.634684935529719,360.819554858222602
수잔나어린이집,879.766110487240212,1142.656349117919945,1043.434908074941404,655.229209432019275,1939.116995111606002,2871.993299562366246,2698.924484907860005,2559.568009230084044,978.712049457928288,1608.174719221816986,318.792878649669888,941.090566984459656,1040.766288876000317
구립 뽄다어린이집,1271.554244992502845,1219.273301599837168,906.774834924538027,267.510300228873689,1748.777655931008667,2625.329482547223506,2406.398667590849072,2444.218617898312004,1339.043849850581864,1621.351908733103073,692.280593477277648,1314.192338482075229,1409.948401100253932
소라어린이집,219.768870606863999,1354.433373009653224,1692.839052481752788,1665.166616454530640,2524.815997021382827,3511.938479882528100,3449.137217638629863,2921.406746102947636,285.178249570436719,1813.237734451797905,723.392891362472142,190.945734016073800,212.218658072483379
구립 새하늘어린이집,1183.970558476830774,1133.602738953796461,866.644245494314077,348.689509140276698,1731.950775608737104,2630.061875137552761,2428.831998648563513,2406.944220363262048,1236.108413144806718,1550.122206282506795,595.144300764056538,1214.005181980126508,1308.609159672231954
꿈을여는어린이집,462.207227786304145,1498.188701524581120,1899.025140553608708,1926.008624767683841,2698.399675552546341,3684.782822945183852,3647.086604990076466,3038.459112314755657,425.721025614578309,1926.690650042891093,985.011025055758637,387.626787711374959,327.048807946758075
구립 신태양어린이집,286.048807264585719,1122.395855468758100,1386.953938101504718,1337.916506099274329,2243.622336957173502,3227.567205197101885,3143.714203084316523,2695.389483088357792,299.388333717556861,1605.025375842498761,398.018586734548819,234.207383792005146,337.704784520510884
근로복지공단 곰달래어린이집,546.125575646096877,1551.695049751761871,1969.028725217824785,2011.147265888430184,2757.806890029305123,3743.112072047313632,3713.099608812003225,3080.226553385852640,494.204916496889268,1969.659839627234305,1070.633684446522693,466.751634401394369,397.058672562220011
