ID,6394546,6503381,6596482,6596464,6596476
유림어린이집,4367.687685225595487,5061.236200740281674,2212.858796927959702,834.571768694241769,4130.076624644300864
미소담어린이집,4269.147655539429252,4968.319395177290062,2236.141413393162111,1002.664245456423146,4001.200505697038807
아기천사어린이집,4912.229342733766316,5566.508547960904252,2292.184057367131572,501.343736990055334,4819.092373431485612
구립 한빛어린이집,4804.773719398133835,5455.906518106685326,2170.619014831363984,393.832502209639472,4723.586059040596410
까꿍어린이집,4800.080201544984448,5446.511456075000751,2138.097319918815174,402.007986143265043,4733.221024829018461
진영꼬마숲어린이집,4465.826827150197460,5133.178180530356258,1980.340161442479712,255.041938686972685,4338.245622757987803
화동교회방과후어린이집,4735.720331502559020,5384.752346606723222,2092.426072038727398,329.950965040749907,4662.390936725339998
구립 배다리어린이집,3915.249927321551240,4616.970618398555416,2024.979323862212368,1143.237036368904683,3638.731206187018415
해다미어린이집,4579.049692965177201,5233.320554453110162,1979.792418353534458,168.484249851718374,4492.882199926390058
천사어린이집,4135.485312340895689,4819.969639166290108,1888.676071374414960,642.072400201211508,3947.525237835338430
썬에듀스쿨어린이집,3882.485250585441463,4583.192352060144913,1978.177107395858229,1122.832558918928044,3613.736328538926045
에반어린이집,4234.663372317602807,4908.176955420819468,1838.982695258601325,396.171824955135321,4089.732875883818906
구립 피노키오어린이집,4392.535219118924942,5053.299341365381224,1858.228484234380176,127.125298838069654,4289.503714030888659
까치산어린이집,4239.713367355388073,4910.231844697757879,1812.287894962292057,342.718715697669495,4105.988331766682677
달님별님어린이집,4831.120643956725871,5461.249265568798364,2087.685343968858433,549.837695043125677,4809.533319561648568
수잔나어린이집,4039.895060715962700,4723.919717964028678,1806.160636953642324,672.410919459739603,3856.461040623182726
구립 뽄다어린이집,3793.707984203372689,4490.648956173701663,1835.908471317952035,1059.351151198849266,3551.081282231200476
소라어린이집,4638.339911703751568,5274.094274382782714,1927.145548086389454,354.044633322751054,4605.613692593671658
구립 새하늘어린이집,3799.435696532541442,4492.225652531511514,1762.197894807479315,965.579251689221337,3579.975511872350580
꿈을여는어린이집,4793.669843383030639,5414.499330967700189,2015.487781786378719,619.715356878072498,4797.089006262611292
구립 신태양어린이집,4367.385861338084396,5016.039416008789885,1746.106263222947518,89.098367196450710,4303.641001634337044
근로복지공단 곰달래어린이집,4845.990009336048388,5461.884791530082111,2050.548551123231846,706.330087586103218,4860.654636547420523
아이뜰어린이집,3905.373341690392408,4586.424708603719409,1661.546403376303715,699.810915416551325,3738.662779036953907
도토리어린이집,4692.988526925307269,5317.436864981671533,1930.547676401665740,518.766035516288980,4689.327359589760817
예꿈어린이집,3592.209310450396060,4293.402579092732594,1796.038577471305189,1264.872851679705491,3328.327745688368850
늘푸른어린이집,3741.162190585479038,4431.058506920810942,1672.042943102548179,945.705372947303545,3538.380757555394212
제일어린이집,4594.687381860026107,5215.057428945650827,1819.497622639124529,523.786195329075554,4603.716043941916723
어린왕자어린이집,3882.936943307971887,4552.437660065012096,1506.045464579258123,587.092655386562683,3762.792634402093881
꼬마궁어린이집,4550.321984470647294,5169.417771301761604,1771.645117663463225,525.811526238707074,4563.614555012726669
새소망어린이집,4222.811502866961746,4864.269508452421178,1567.046167418767936,268.192296220035757,4184.138329731332306
해송어린이집,4045.925287472187392,4698.449137313958090,1485.064928620087358,366.722007701504936,3978.788724916090814
아이린어린이집,3918.155308497922761,4580.169905875617587,1458.601761413832037,509.351741526093292,3823.611907536609124
예솔어린이집,3868.910228817777352,4533.613646954630894,1444.823066949336635,568.575611990565562,3766.516672134041983
파랑새 어린이집,3548.145331496953531,4236.387116447579501,1516.366710376971241,1054.971953128917448,3359.726774845715681
늘품어린이집,3830.295992101183856,4494.153738975724991,1405.445918762078691,601.129290341185538,3732.067271399232141
구립 라온어린이집,4426.432589437471506,5044.988729475174296,1649.154240996964973,512.178075542262945,4444.107969868663531
수성어린이집,3489.293962794257368,4176.031487655015553,1455.422978800075498,1081.938874538092023,3310.165417343853278
구립 샛별어린이집,3761.744624280845528,4426.866414434653962,1364.579848233450093,671.968550220311499,3661.249335480405080
단향어린이집,3808.659401441836053,4468.667011994810309,1350.528493530487594,609.359534557771212,3724.334178505189811
캥거루어린이집,3301.403558975272972,3999.777681289185693,1566.614046787824464,1387.897202973395451,3065.928506132541770
쁘띠아미 에꼴 어린이집,4314.294031786987034,4933.400270840586927,1542.623061636481680,511.843351343669951,4333.467374059813665
애솔 어린이집,3746.512463008005852,4407.439932750360640,1310.205650630640321,672.610630508092981,3661.086611596756939
명지어린이집,4350.736114527190693,4964.854933226864887,1559.702109299408448,571.511965817355076,4381.376951034289050
BeBe스쿨어린이집,3839.219769665215608,4491.645118620956055,1307.666274816505847,573.539404267980444,3778.648504450961354
해바라기어린이집,4284.691421924653696,4898.594375952952760,1494.707653468642548,583.302670722951802,4317.607858058921920
석란어린이집,3675.311436227998001,4325.183526872832772,1152.252128567474529,740.490210710636234,3628.197977338852979
새서원어린이집,3211.856264522772108,3897.085366961004638,1279.896927919416385,1300.819203022769898,3050.546889959251985
아름드리어린이집,3515.533908294094545,4169.879432835631633,1071.888085310453562,896.412814025298189,3460.076556421790428
구립 하늘마음어린이집,3869.312768210730155,4494.378218617375751,1148.645330615147259,684.870496778892175,3886.171984690725822
배광 어린이집,4696.752619379625685,5262.525814873210948,1819.368570834909633,1194.677285945285121,4825.504234902828102
새빛어린이집,2928.771310057492428,3631.312276539704726,1511.886936582072167,1734.147520490702391,2680.177954513705117
